distance,average_hours,truck_age,load_capacity_pounds,mileage_mpg,fuel_type,temp_x,wind_speed_x,humidity_x,visibility_x,pressure_x,no_of_vehicles,accident,gender,age,experience,driving_style,ratings,average_speed_mph,temp_y,wind_speed_y,humidity_y,visibility_y,pressure_y,delay,efficiency,fuel_efficiency,weather_impact,visibility_speed,age_experience_ratio
310.75,6.22,9,3000.0,23,diesel,31.0,4.25,86.0,6.0,1009.5,1717.25,0,male,48,9,proactive,7,57.36,26.04,10.5,80.62,5.25,1027.42,0,49.96,13.51,903.0,344.16,5.33
1050.84,21.02,7,15000.0,21,diesel,43.25,9.25,78.5,6.0,1021.25,1725.58,1,male,47,12,proactive,8,57.04,26.04,10.5,80.62,5.25,1027.42,0,49.99,50.04,824.25,342.24,3.92
38.1,0.76,10,3000.0,26,diesel,24.0,7.0,63.75,5.5,1019.75,1717.25,0,male,43,6,proactive,8,64.11,26.04,10.5,80.62,5.25,1027.42,0,50.13,1.47,669.38,352.6,7.17
688.91,13.78,12,8501.88,27,diesel,38.5,4.5,85.5,6.0,1012.0,1725.58,1,male,49,16,conservative,4,49.47,26.04,10.5,80.62,5.25,1027.42,0,49.99,25.52,897.75,296.82,3.06
433.01,8.66,8,6000.0,22,diesel,35.5,4.5,84.75,3.5,1014.25,1717.25,0,male,49,17,conservative,7,39.27,26.04,10.5,80.62,5.25,1027.42,0,50.0,19.68,889.88,137.45,2.88
452.19,9.04,7,8501.88,26,diesel,42.0,6.25,90.25,6.0,1011.75,1717.25,0,male,47,13,proactive,8,60.76,26.04,10.5,80.62,5.25,1027.42,0,50.02,17.39,947.62,364.56,3.62
934.7,18.69,7,3000.0,23,diesel,24.0,5.5,67.75,6.0,1024.25,1725.58,1,male,52,26,conservative,8,44.61,26.04,10.5,80.62,5.25,1027.42,0,50.01,40.64,711.38,267.66,2.0
239.93,4.8,9,20000.0,27,diesel,23.5,10.0,63.0,4.25,1020.25,1742.25,3,male,45,7,proactive,8,56.88,26.04,10.5,80.62,5.25,1027.42,1,49.99,8.89,661.5,241.74,6.43
207.01,4.14,7,15000.0,22,diesel,50.0,9.75,57.75,3.5,1012.25,1725.58,1,male,38,9,proactive,2,63.31,26.04,10.5,80.62,5.25,1027.42,0,50.0,9.41,606.38,221.58,4.22
167.88,3.36,11,6000.0,25,diesel,50.0,10.5,61.0,5.75,1021.75,1733.92,2,male,47,20,proactive,4,62.09,26.04,10.5,80.62,5.25,1027.42,1,49.96,6.72,640.5,357.02,2.35
211.56,4.23,9,15000.0,27,diesel,38.0,6.0,71.0,6.0,1019.5,1725.58,1,male,48,5,proactive,3,59.83,26.04,10.5,80.62,5.25,1027.42,0,50.01,7.84,745.5,358.98,9.6
914.29,18.29,12,3000.0,25,diesel,44.0,11.5,93.75,3.75,1004.0,1742.25,3,male,47,9,conservative,8,35.86,26.04,10.5,80.62,5.25,1027.42,0,49.99,36.57,984.38,134.48,5.22
440.71,8.81,9,3000.0,18,gas,32.25,8.5,74.5,6.0,1022.5,1717.25,0,male,49,0,proactive,7,59.49,26.04,10.5,80.62,5.25,1027.42,0,50.02,24.48,782.25,356.94,inf
93.45,1.87,9,3000.0,23,diesel,51.0,4.25,92.75,3.25,1015.5,1725.58,1,male,50,4,conservative,3,48.14,26.04,10.5,80.62,5.25,1027.42,0,49.97,4.06,973.88,156.46,12.5
910.4,18.21,8,6000.0,23,diesel,35.5,5.5,69.0,6.0,1022.75,1725.58,1,male,44,3,proactive,7,57.43,26.04,10.5,80.62,5.25,1027.42,0,49.99,39.58,724.5,344.58,14.67
672.64,13.45,8,10000.0,24,diesel,33.5,5.0,71.5,6.0,1020.0,1725.58,1,male,47,9,proactive,8,60.34,26.04,10.5,80.62,5.25,1027.42,1,50.01,28.03,750.75,362.04,5.22
860.1,17.2,8,15000.0,17,gas,31.25,6.75,76.0,6.0,1015.75,1717.25,0,male,47,9,conservative,4,57.58,26.04,10.5,80.62,5.25,1027.42,1,50.01,50.59,798.0,345.48,5.22
755.31,15.11,9,4000.0,22,diesel,39.0,3.5,93.75,6.0,1013.25,1717.25,0,male,39,2,proactive,3,62.07,26.04,10.5,80.62,5.25,1027.42,0,49.99,34.33,984.38,372.42,19.5
1048.57,20.97,10,8501.88,18,gas,58.0,13.75,70.0,6.0,1011.25,1725.58,1,male,38,5,conservative,3,42.78,26.04,10.5,80.62,5.25,1027.42,0,50.0,58.25,735.0,256.68,7.6
535.94,10.72,8,10000.0,23,diesel,72.0,2.5,67.0,6.0,1007.25,1717.25,0,male,54,17,proactive,8,59.56,26.04,10.5,80.62,5.25,1027.42,0,49.99,23.3,703.5,357.36,3.18
366.88,7.34,9,10000.0,19,gas,57.0,8.5,70.75,6.0,1011.25,1717.25,0,male,46,4,conservative,3,48.62,26.04,10.5,80.62,5.25,1027.42,0,49.98,19.31,742.88,291.72,11.5
155.21,3.1,10,6000.0,24,diesel,53.5,10.75,56.0,6.0,1019.0,1742.25,3,male,48,20,proactive,7,58.74,26.04,10.5,80.62,5.25,1027.42,0,50.07,6.47,588.0,352.44,2.4
107.61,2.15,11,8501.88,24,diesel,37.0,8.5,81.75,5.5,1016.75,1725.58,1,male,48,5,proactive,2,59.59,26.04,10.5,80.62,5.25,1027.42,0,50.05,4.48,858.38,327.74,9.6
1014.75,20.3,10,10000.0,17,gas,50.0,7.5,76.5,6.0,1016.5,1725.58,1,male,49,20,proactive,4,62.2,26.04,10.5,80.62,5.25,1027.42,0,49.99,59.69,803.25,373.2,2.45
788.25,15.76,14,8501.88,22,diesel,53.5,6.75,80.0,6.0,1012.0,1725.58,1,male,50,12,conservative,8,40.08,26.04,10.5,80.62,5.25,1027.42,0,50.02,35.83,840.0,240.48,4.17
710.27,14.21,11,20000.0,18,gas,43.0,7.0,93.75,6.0,1012.75,1733.92,2,male,48,15,conservative,8,44.02,26.04,10.5,80.62,5.25,1027.42,0,49.98,39.46,984.38,264.12,3.2
895.97,17.92,12,10000.0,23,diesel,53.0,10.75,84.25,6.0,1013.0,1742.25,3,male,45,9,proactive,7,62.16,26.04,10.5,80.62,5.25,1027.42,0,50.0,38.96,884.62,372.96,5.0
310.71,6.21,7,3000.0,23,diesel,46.0,9.25,91.25,4.0,1011.5,1767.25,6,male,43,10,proactive,8,56.78,26.04,10.5,80.62,5.25,1027.42,0,50.03,13.51,958.12,227.12,4.3
110.4,2.21,9,8501.88,23,diesel,70.0,4.0,81.5,3.5,1012.0,1733.92,2,male,44,9,conservative,7,42.24,26.04,10.5,80.62,5.25,1027.42,0,49.95,4.8,855.75,147.84,4.89
585.34,11.71,13,20000.0,17,gas,51.5,7.0,55.25,6.0,1017.5,1742.25,3,male,57,26,conservative,4,44.76,26.04,10.5,80.62,5.25,1027.42,0,49.99,34.43,580.12,268.56,2.19
155.49,3.11,9,3000.0,22,diesel,61.0,13.0,70.5,5.75,1019.25,1733.92,2,female,45,14,conservative,6,42.94,26.04,10.5,80.62,5.25,1027.42,0,50.0,7.07,740.25,246.9,3.21
402.53,8.05,10,4000.0,17,gas,51.0,12.0,73.5,6.0,1014.0,1742.25,3,female,45,4,proactive,4,56.85,26.04,10.5,80.62,5.25,1027.42,0,50.0,23.68,771.75,341.1,11.25
867.28,17.35,8,3000.0,16,gas,49.0,8.5,83.0,6.0,1019.25,1733.92,2,male,47,17,conservative,6,46.67,26.04,10.5,80.62,5.25,1027.42,0,49.99,54.2,871.5,280.02,2.76
235.89,4.72,8,3000.0,18,gas,40.25,8.5,92.75,6.0,1012.5,1717.25,0,male,39,5,conservative,3,47.22,26.04,10.5,80.62,5.25,1027.42,0,49.98,13.1,973.88,283.32,7.8
239.78,4.8,7,3000.0,21,diesel,42.5,6.75,89.25,3.5,1015.75,1725.58,1,male,47,12,proactive,6,59.33,26.04,10.5,80.62,5.25,1027.42,1,49.95,11.42,937.12,207.66,3.92
447.0,8.94,9,20000.0,16,gas,55.0,7.75,57.5,4.75,1013.25,1811.25,0,male,46,11,proactive,6,57.41,75.71,6.58,70.17,6.0,1010.92,0,50.0,27.94,378.54,272.7,4.18
904.14,18.08,9,4000.0,15,gas,43.25,6.25,73.0,6.0,1018.25,1819.58,1,male,49,10,proactive,4,57.66,75.71,6.58,70.17,6.0,1010.92,1,50.01,60.28,480.58,345.96,4.9
884.53,17.69,11,3000.0,14,gas,46.5,4.25,82.0,4.0,1014.25,1827.92,2,male,51,20,conservative,8,43.95,75.71,6.58,70.17,6.0,1010.92,0,50.0,63.18,539.83,175.8,2.55
89.4,1.79,7,20000.0,23,diesel,60.25,9.25,83.75,6.0,1015.25,1760.54,0,male,52,20,conservative,4,47.57,36.04,8.33,24.5,6.0,1023.42,0,49.94,3.89,697.92,285.42,2.6
657.5,13.15,12,15000.0,16,gas,61.5,3.75,84.75,6.0,1015.5,1768.88,1,male,51,16,conservative,4,39.85,36.04,8.33,24.5,6.0,1023.42,0,50.0,41.09,706.25,239.1,3.19
770.99,15.42,11,6000.0,22,gas,53.25,12.75,81.75,3.5,1006.5,1760.54,0,male,48,16,conservative,4,43.68,36.04,8.33,24.5,6.0,1023.42,0,50.0,35.04,681.25,152.88,3.0
1177.33,23.55,8,6000.0,18,Unknown,48.75,10.25,76.5,5.75,1012.0,1768.88,1,male,50,18,conservative,6,48.22,36.04,8.33,24.5,6.0,1023.42,0,49.99,65.41,637.5,277.26,2.78
746.72,14.93,8,3000.0,16,gas,56.0,9.0,72.0,6.0,1017.75,1777.21,2,female,46,15,proactive,4,57.23,36.04,8.33,24.5,6.0,1023.42,0,50.01,46.67,600.0,343.38,3.07
1155.04,23.1,5,8501.88,20,Unknown,83.0,6.5,53.25,6.0,1009.5,1777.21,2,male,57,17,proactive,4,58.88,36.04,8.33,24.5,6.0,1023.42,0,50.0,57.75,443.75,353.28,3.35
1103.33,22.07,7,10000.0,18,gas,61.5,9.75,51.0,6.0,1017.75,1706.79,3,male,44,11,proactive,5,63.11,35.12,4.88,74.38,5.21,1026.79,0,49.99,61.3,248.62,378.66,4.0
310.75,6.22,12,15000.0,21,gas,31.0,4.25,86.0,6.0,1009.5,1891.38,2,male,47,7,conservative,7,39.22,39.0,9.96,82.21,6.0,1022.92,1,49.96,14.8,856.42,235.32,6.71
273.0,5.46,11,3000.0,26,diesel,39.5,4.75,53.75,6.0,1017.25,1891.38,2,male,37,7,proactive,2,59.53,39.0,9.96,82.21,6.0,1022.92,0,50.0,10.5,535.26,357.18,5.29
470.26,9.41,10,15000.0,23,diesel,40.0,7.5,52.0,6.0,1026.5,1891.38,2,male,53,15,proactive,4,63.16,39.0,9.96,82.21,6.0,1022.92,0,49.97,20.45,517.83,378.96,3.53
1000.56,20.01,8,15000.0,23,diesel,26.5,4.25,81.25,6.0,1016.5,1883.04,1,male,48,-2,proactive,2,58.26,39.0,9.96,82.21,6.0,1022.92,0,50.0,43.5,809.11,349.56,-24.0
618.75,12.38,11,3000.0,21,diesel,22.75,11.25,84.75,3.75,1010.25,1874.71,0,male,43,6,proactive,2,60.19,39.0,9.96,82.21,6.0,1022.92,0,49.98,29.46,843.97,225.71,7.17
167.91,3.36,13,3000.0,21,diesel,29.5,11.25,76.0,6.0,1013.5,1883.04,1,male,49,10,conservative,8,43.39,39.0,9.96,82.21,6.0,1022.92,1,49.97,8.0,756.83,260.34,4.9
670.83,13.42,10,3000.0,25,diesel,36.5,11.75,72.0,3.5,1001.25,1874.71,0,male,55,13,conservative,5,56.84,39.0,9.96,82.21,6.0,1022.92,0,49.99,26.83,717.0,198.94,4.23
455.09,9.1,7,15000.0,25,diesel,39.75,12.0,56.25,4.0,1014.75,1874.71,0,male,40,3,conservative,4,49.68,39.0,9.96,82.21,6.0,1022.92,0,50.01,18.2,560.16,198.72,13.33
414.27,8.29,11,10000.0,15,gas,77.25,8.5,31.75,6.0,1009.5,1891.38,2,male,46,10,conservative,2,50.83,39.0,9.96,82.21,6.0,1022.92,0,49.97,27.62,316.18,304.98,4.6
240.42,4.81,12,6000.0,22,diesel,51.0,10.75,49.75,6.0,1005.75,1883.04,1,male,46,1,proactive,8,64.15,39.0,9.96,82.21,6.0,1022.92,0,49.98,10.93,495.43,384.9,46.0
